Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
5.320;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;474;53;1;500;133;    ;0;150;89;1;150;115;    
5.357;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;474;53;1;500;133;    ;0;150;89;1;150;115;    
5.387;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;473;53;1;500;133;    ;0;150;88;1;150;115;    
5.420;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;473;53;1;500;133;    ;0;150;89;1;150;115;    
5.455;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;472;53;1;500;133;    ;0;150;89;1;150;115;    
5.488;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;472;53;1;500;133;    ;0;150;89;1;150;115;    
5.518;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;471;53;1;500;131;    ;0;150;88;1;150;115;    
5.556;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;471;53;1;500;133;    ;0;150;89;1;150;115;    
5.588;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;470;53;1;500;133;    ;0;150;89;1;150;115;    
5.620;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;470;53;1;500;133;    ;0;150;88;1;150;115;    
5.657;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;469;53;1;500;133;    ;0;150;88;1;150;115;    
5.700;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;469;53;1;500;133;    ;0;150;88;1;150;115;    
5.730;    ;1;228;48;1;88;45;    ;0;468;53;1;500;133;    ;0;150;88;1;150;115;    
5.757;    ;1;228;48;1;88;45;    ;0;468;53;1;500;133;    ;1;150;115;    
5.787;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;468;53;1;500;133;    ;1;150;115;    
5.812;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;468;53;1;500;133;    ;0;150;88;1;150;115;    
5.851;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;467;53;1;500;133;    ;0;150;88;1;150;115;    
5.885;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;467;53;1;500;133;    ;0;150;88;1;150;115;    
5.918;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;466;53;1;500;133;    ;0;150;87;1;150;115;    
5.955;    ;1;228;48;1;88;45;    ;0;466;53;1;500;131;    ;0;150;87;1;150;115;    
5.987;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;466;53;1;500;131;    ;1;150;115;    
6.020;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;465;53;1;500;133;    ;0;150;87;1;150;115;    
6.056;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;465;53;1;500;131;    ;0;150;88;1;150;115;    
6.088;    ;1;228;48;1;88;45;    ;0;464;53;1;500;133;    ;0;150;89;1;150;115;    
6.120;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;464;53;1;500;133;    ;1;150;115;    
6.157;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;464;53;1;500;133;    ;0;150;87;1;150;115;    
6.186;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;463;55;1;500;136;    ;0;150;87;1;150;115;    
6.219;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;463;53;1;500;133;    ;0;150;87;1;150;116;    
6.256;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;462;53;1;500;133;    ;0;150;88;1;150;115;    
6.287;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;462;55;1;500;134;    ;0;150;88;1;150;115;    
6.319;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;461;55;1;500;134;    ;0;150;89;1;150;115;    
6.354;    ;1;228;48;1;88;45;    ;0;461;53;1;500;133;    ;0;150;88;1;150;115;    
6.388;    ;1;228;48;1;88;45;    ;0;461;53;1;500;133;    ;1;150;115;    
6.419;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;461;53;1;500;133;    ;1;150;115;    
6.455;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;460;53;1;500;133;    ;0;150;88;1;150;115;    
6.488;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;460;53;1;500;133;    ;0;150;88;1;150;115;    
6.519;    ;1;228;48;1;88;45;    ;0;459;55;1;500;136;    ;0;150;88;1;150;115;    
6.548;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;459;55;1;500;136;    ;1;150;116;    
6.581;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;459;53;1;500;133;    ;0;150;88;1;150;116;    
6.615;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;458;53;1;500;133;    ;0;150;88;1;150;115;    
6.654;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;458;53;1;500;133;    ;0;150;88;1;150;115;    
6.688;    ;1;228;48;1;88;45;    ;0;457;53;1;500;133;    ;0;150;88;1;150;115;    
6.719;    ;1;228;48;1;88;45;    ;0;457;53;1;500;133;    ;1;150;115;    
6.758;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;457;53;1;500;133;    ;1;150;115;    
6.788;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;457;53;1;500;133;    ;0;150;88;1;150;115;    
6.819;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;456;53;1;500;133;    ;0;150;88;1;150;115;    
6.857;    ;1;228;48;1;88;45;    ;0;456;53;1;500;131;    ;0;150;88;1;150;115;    
6.888;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;456;53;1;500;131;    ;1;150;115;    
6.919;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;455;53;1;500;133;    ;0;150;88;1;150;115;    
6.956;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;455;55;1;500;136;    ;0;150;88;1;150;115;    
6.986;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;454;53;1;500;133;    ;0;150;88;1;150;116;    
7.019;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;454;53;1;500;133;    ;0;150;88;1;150;115;    
7.054;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;453;53;1;500;133;    ;0;150;88;1;150;115;    
7.088;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;453;53;1;500;133;    ;0;150;88;1;150;115;    
7.118;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;452;53;1;500;133;    ;0;150;88;1;150;115;    
7.159;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;452;53;1;500;131;    ;0;150;89;1;150;115;    
7.186;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;451;53;1;500;131;    ;0;150;88;1;150;115;    
7.218;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;451;53;1;500;131;    ;0;150;88;1;150;115;    
7.251;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;450;53;1;500;133;    ;0;150;89;1;150;115;    
7.292;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;450;53;1;500;133;    ;0;150;89;1;150;115;    
7.319;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;449;53;1;500;133;    ;0;150;88;1;150;115;    
7.353;    ;1;228;48;1;88;45;    ;0;449;53;1;500;133;    ;0;150;88;1;150;115;    
7.386;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;449;53;1;500;133;    ;1;150;115;    
7.418;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;448;55;1;500;134;    ;0;150;88;1;150;115;    
7.450;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;448;53;1;500;133;    ;0;150;88;1;150;116;    
7.485;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;447;53;1;500;133;    ;0;150;89;1;150;115;    
7.517;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;447;53;1;500;131;    ;0;150;88;1;150;115;    
7.553;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;446;53;1;500;131;    ;0;150;88;1;150;115;    
7.587;    ;1;228;48;1;88;45;    ;0;446;53;1;500;131;    ;0;150;88;1;150;115;    
7.615;    ;0;56;44;1;94;46;1;228;48;0;88;46;    ;0;446;53;1;500;131;    ;1;150;115;    
7.653;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;445;53;1;500;133;    ;0;150;88;1;150;114;    
7.688;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;445;53;1;500;133;    ;0;150;87;1;150;115;    
7.719;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;444;53;1;500;133;    ;0;150;88;1;150;115;    
7.757;    ;1;228;48;1;88;45;    ;0;444;53;1;500;133;    ;0;150;88;1;150;115;    
7.782;    ;1;228;48;1;88;45;    ;0;444;53;1;500;133;    ;1;150;116;    
7.817;    ;1;228;48;1;88;45;    ;0;444;53;1;500;133;    ;1;150;116;    
7.853;    ;1;228;48;1;88;45;    ;0;444;53;1;500;133;    ;1;150;116;    
7.883;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;444;53;1;500;133;    ;1;150;116;    
7.918;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;443;53;1;499;133;    ;0;150;88;1;150;116;    
7.951;    ;1;228;48;1;88;45;    ;0;443;53;1;499;133;    ;0;150;88;1;150;116;    
7.984;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;443;53;1;499;133;    ;1;150;116;    
8.014;    ;1;228;48;1;88;45;    ;0;442;53;1;500;133;    ;0;150;89;1;150;116;    
8.050;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;442;53;1;500;133;    ;1;150;116;    
8.084;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;442;53;1;500;133;    ;0;150;88;1;150;116;    
8.117;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;441;55;1;500;136;    ;0;150;88;1;150;116;    
8.153;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;441;53;1;500;133;    ;0;150;88;1;150;116;    
8.183;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;440;53;1;500;133;    ;0;150;88;1;150;116;    
8.218;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;440;53;1;500;133;    ;0;150;88;1;150;116;    
8.252;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;439;53;1;500;133;    ;0;150;87;1;150;116;    
8.285;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;439;53;1;500;133;    ;0;150;87;1;150;116;    
8.313;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;438;53;1;500;133;    ;0;150;87;1;150;116;    
8.350;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;438;53;1;500;133;    ;0;150;87;1;150;116;    
8.384;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;437;53;1;500;133;    ;0;150;88;1;150;116;    
8.417;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;437;53;1;500;133;    ;0;150;88;1;150;116;    
8.450;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;436;53;1;500;133;    ;0;150;88;1;150;116;    
8.482;    ;1;228;48;1;88;45;    ;0;436;53;1;500;131;    ;0;150;87;1;150;116;    
8.516;    ;1;228;48;1;88;45;    ;0;436;53;1;500;131;    ;1;150;115;    
8.552;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;436;53;1;500;131;    ;1;150;115;    
8.584;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;435;53;1;500;133;    ;0;150;87;1;150;115;    
8.614;    ;0;56;44;1;93;46;1;228;48;1;88;45;    ;0;435;53;1;500;133;    ;0;150;88;1;150;116;    
8.654;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;434;53;1;500;133;    ;0;150;88;1;150;116;    
8.685;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;434;53;1;500;133;    ;0;150;88;1;150;116;    
8.716;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;433;53;1;500;133;    ;0;150;88;1;150;116;    
8.754;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;433;53;1;500;133;    ;0;150;88;1;150;116;    
8.783;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;432;53;1;500;133;    ;0;150;88;1;150;116;    
8.816;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;432;53;1;500;133;    ;0;150;88;1;150;116;    
8.852;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;431;53;1;500;133;    ;0;150;88;1;150;116;    
8.882;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;431;53;1;500;133;    ;0;150;89;1;150;116;    
8.914;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;430;53;1;500;133;    ;0;150;88;1;150;116;    
8.952;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;430;55;1;500;136;    ;0;150;89;1;150;116;    
8.984;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;429;53;1;500;133;    ;0;150;88;1;150;116;    
9.017;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;429;53;1;500;133;    ;0;150;88;1;150;116;    
9.050;    ;1;228;48;1;88;45;    ;0;428;55;1;500;134;    ;0;150;88;1;150;116;    
9.083;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;428;55;1;500;134;    ;1;150;116;    
9.116;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;428;53;1;500;133;    ;0;150;88;1;150;116;    
