Time (s);    ;car_position;   ;input;    ;command;   ;treadmill;     ;obstacles;
5.152;    ;0;664;63;13;0;0;1;660;144;6;0;0;2;491;280;-37;92;50;    ;0;500;73;1;500;152;2;500;310;    ;0;0;97;1;0;113;2;19;73;    ;353;190;90;33;114;191;271;350;    ;
5.182;    ;0;664;63;11;0;0;1;660;144;6;0;0;2;483;276;-45;92;50;    ;0;500;73;1;500;152;2;500;310;    ;0;0;99;1;0;113;2;29;70;    ;353;190;90;33;114;191;271;350;    ;
5.219;    ;0;664;63;11;0;0;1;660;144;4;0;0;2;476;271;-46;92;49;    ;0;500;73;1;500;152;2;500;310;    ;0;0;97;1;0;113;2;36;70;    ;353;190;90;33;114;191;272;    ;
5.251;    ;0;664;63;11;0;0;1;660;144;7;0;0;2;470;266;-50;92;49;    ;0;500;73;1;500;152;2;500;231;    ;0;0;97;1;0;111;2;30;70;    ;353;190;90;33;114;191;272;350;    ;
5.283;    ;0;664;63;4;0;0;1;660;144;6;0;0;2;464;260;-53;92;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;97;1;0;114;2;33;70;    ;353;190;90;33;114;191;272;350;    ;
5.319;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;459;254;-55;91;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;90;1;0;113;2;36;70;    ;353;190;90;33;114;191;272;350;    ;
5.351;    ;0;664;63;9;0;0;1;660;144;2;0;0;2;455;249;-55;91;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;94;1;0;111;2;33;70;    ;353;190;90;33;114;191;273;349;    ;
5.382;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;452;243;-55;91;48;    ;0;500;73;1;500;152;2;500;232;    ;0;0;95;1;0;109;2;34;70;    ;353;190;90;33;114;192;271;349;    ;
5.419;    ;0;664;63;8;0;0;1;660;144;3;0;0;2;448;238;-55;91;48;    ;0;500;73;1;500;153;2;500;231;    ;0;0;94;1;0;111;2;32;70;    ;353;190;90;33;114;192;272;350;    ;
5.452;    ;0;664;63;2;0;0;1;660;144;2;0;0;2;445;233;-55;89;48;    ;0;500;73;1;500;153;2;500;232;    ;0;0;94;1;0;110;2;36;70;    ;353;190;90;33;114;190;272;349;    ;
5.484;    ;0;664;63;2;0;0;1;660;144;0;0;0;2;442;228;-55;90;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;88;1;0;109;2;36;70;    ;353;190;90;33;114;190;272;350;    ;
5.521;    ;0;664;63;7;0;0;1;660;144;0;0;0;2;439;223;-56;91;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;88;1;0;107;2;38;70;    ;353;190;90;33;114;190;272;349;    ;
5.552;    ;1;660;144;0;0;0;2;436;219;-56;90;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;93;1;0;107;2;38;70;    ;353;190;90;33;114;190;272;349;    ;
5.583;    ;1;660;144;0;0;0;2;433;215;-56;90;48;    ;0;500;73;1;500;152;2;500;231;    ;1;0;107;2;42;70;    ;353;190;90;33;114;190;272;349;    ;
5.620;    ;0;664;63;8;0;0;1;660;144;1;0;0;2;431;211;-56;91;48;    ;0;500;73;1;500;152;2;500;231;    ;1;0;107;2;44;70;    ;353;190;90;33;114;190;272;349;    ;
5.652;    ;0;664;63;7;0;0;1;660;144;4;0;0;2;428;208;-56;91;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;94;1;0;108;2;41;70;    ;353;190;90;33;114;190;272;350;    ;
5.683;    ;0;664;63;2;0;0;1;660;144;4;0;0;2;426;204;-56;91;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;93;1;0;111;2;48;70;    ;353;190;90;33;114;190;272;350;    ;
5.720;    ;0;664;63;2;0;0;1;660;144;4;0;0;2;423;200;-57;91;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;88;1;0;111;2;45;70;    ;353;190;90;33;114;190;272;349;    ;
5.752;    ;0;664;63;2;0;0;1;660;144;2;0;0;2;421;197;-57;91;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;88;1;0;111;2;49;70;    ;353;190;90;33;114;190;272;349;    ;
5.782;    ;0;664;63;3;0;0;1;660;144;1;0;0;2;419;193;-57;91;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;88;1;0;109;2;49;70;    ;353;190;90;33;114;190;272;349;    ;
5.819;    ;0;664;63;8;0;0;1;660;144;6;0;0;2;417;190;-57;91;48;    ;0;500;73;1;500;152;2;500;231;    ;0;0;89;1;0;108;2;51;70;    ;353;190;90;33;114;191;272;349;    ;
5.852;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;415;187;-57;91;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;94;1;0;113;2;51;70;    ;353;190;90;33;114;191;272;349;    ;
5.884;    ;0;664;63;10;0;0;1;660;144;1;0;0;2;413;184;-57;91;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;94;1;0;111;2;53;70;    ;353;190;90;33;114;191;272;349;    ;
5.920;    ;0;664;63;6;0;0;1;660;144;4;0;0;2;411;181;-57;91;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;96;1;0;108;2;55;70;    ;353;190;90;33;114;191;272;350;    ;
5.952;    ;0;664;63;4;0;0;1;660;144;7;0;0;2;409;177;-57;91;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;92;1;0;111;2;56;70;    ;353;190;90;33;114;191;272;350;    ;
5.980;    ;0;664;63;7;0;0;1;660;144;4;0;0;2;407;174;-57;91;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;90;1;0;114;2;59;70;    ;353;190;90;33;114;191;272;350;    ;
6.016;    ;0;664;63;11;0;0;1;660;144;7;0;0;2;405;171;-58;91;47;    ;0;500;73;1;500;152;2;500;152;    ;0;0;93;1;0;111;2;61;70;    ;353;190;90;33;114;191;272;349;    ;
6.052;    ;0;664;63;11;0;0;1;660;144;5;0;0;2;403;168;-57;91;47;    ;0;500;73;1;500;152;2;500;152;    ;0;0;97;1;0;114;2;61;70;    ;353;190;90;33;114;191;272;350;    ;
6.083;    ;0;664;63;11;0;0;1;660;144;7;0;0;2;401;165;-57;91;47;    ;0;500;73;1;500;152;2;500;152;    ;0;0;97;1;0;112;2;63;70;    ;353;190;90;33;114;191;272;349;    ;
6.119;    ;0;664;63;11;0;0;1;660;144;6;0;0;2;399;162;-57;91;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;97;1;0;114;2;66;70;    ;353;190;90;33;114;191;272;349;    ;
6.153;    ;0;664;63;11;0;0;1;660;144;5;0;0;2;397;159;-58;91;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;97;1;0;113;2;66;70;    ;353;190;90;33;114;191;272;349;    ;
6.183;    ;0;664;63;4;0;0;1;660;144;5;0;0;2;395;156;-57;91;47;    ;0;500;73;1;500;152;2;500;152;    ;0;0;97;1;0;112;2;69;70;    ;353;190;90;33;114;191;272;349;    ;
6.220;    ;0;664;63;11;0;0;1;660;144;6;0;0;2;393;152;-58;90;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;90;1;0;112;2;71;70;    ;353;190;90;33;114;191;272;348;    ;
6.252;    ;0;664;63;11;0;0;1;660;144;2;0;0;2;391;149;-58;89;47;    ;0;500;73;1;500;152;2;500;152;    ;0;0;97;1;0;113;2;72;70;    ;353;190;90;33;114;191;272;350;    ;
6.283;    ;0;664;63;9;0;0;1;660;144;4;0;0;2;389;146;-58;88;47;    ;0;500;73;1;500;152;2;500;152;    ;0;0;97;1;0;109;2;75;70;    ;353;190;90;33;114;191;272;350;    ;
6.321;    ;0;664;63;9;0;0;1;660;144;4;0;0;2;388;143;-58;89;47;    ;0;500;73;1;500;152;2;500;152;    ;0;0;95;1;0;111;2;76;70;    ;353;190;90;33;114;191;272;349;    ;
6.352;    ;0;664;63;9;0;0;1;660;144;4;0;0;2;386;140;-58;89;47;    ;0;500;73;1;500;152;2;500;152;    ;0;0;95;1;0;111;2;74;70;    ;353;190;90;33;114;191;272;349;    ;
6.384;    ;0;664;63;8;0;0;1;660;144;5;0;0;2;384;138;-57;89;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;95;1;0;111;2;80;70;    ;353;190;90;33;114;191;272;349;    ;
6.420;    ;0;664;63;3;0;0;1;660;144;6;0;0;2;383;135;-58;90;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;94;1;0;112;2;82;70;    ;353;190;90;33;114;192;272;349;    ;
6.455;    ;0;664;63;8;0;0;1;660;144;2;0;0;2;381;132;-58;91;48;    ;0;500;73;1;500;153;2;500;153;    ;0;0;89;1;0;113;2;79;70;    ;353;190;90;33;114;194;272;349;    ;
6.483;    ;0;664;63;2;0;0;1;660;144;3;0;0;2;379;129;-58;91;48;    ;0;500;73;1;500;154;2;500;154;    ;0;0;94;1;0;109;2;84;70;    ;353;190;90;33;114;192;272;349;    ;
6.518;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;378;126;-58;91;48;    ;0;500;73;1;500;153;2;500;153;    ;0;0;88;1;0;110;2;88;70;    ;353;190;90;33;114;192;272;350;    ;
6.550;    ;0;664;63;2;0;0;1;660;144;3;0;0;2;376;123;-58;91;48;    ;0;500;73;1;500;153;2;500;153;    ;0;0;94;1;0;111;2;84;70;    ;353;190;90;33;114;190;272;350;    ;
6.582;    ;0;664;63;2;0;0;1;660;144;3;0;0;2;374;121;-58;91;48;    ;0;500;73;1;500;152;2;500;152;    ;0;0;88;1;0;110;2;90;70;    ;353;190;90;33;114;194;272;349;    ;
6.619;    ;0;664;63;2;0;0;1;660;144;1;0;0;2;373;118;-58;91;48;    ;0;500;73;1;500;154;2;500;154;    ;0;0;88;1;0;110;2;92;70;    ;353;190;90;33;114;192;272;349;    ;
6.650;    ;0;664;63;3;0;0;1;660;144;4;0;0;2;371;115;-57;91;48;    ;0;500;73;1;500;153;2;500;153;    ;0;0;88;1;0;108;2;89;70;    ;353;190;90;33;114;192;272;349;    ;
6.684;    ;0;664;63;3;0;0;1;660;144;5;0;0;2;369;112;-57;91;48;    ;0;500;73;1;500;153;2;500;153;    ;0;0;89;1;0;111;2;96;70;    ;353;190;90;33;114;192;272;349;    ;
6.720;    ;1;660;144;4;0;0;2;368;109;-57;91;48;    ;0;500;73;1;500;153;2;500;73;    ;0;0;89;1;0;112;2;97;70;    ;353;190;90;33;114;192;272;349;    ;
6.752;    ;0;664;63;2;0;0;1;660;144;4;0;0;2;366;107;-57;91;47;    ;0;500;73;1;500;153;2;500;73;    ;1;0;111;2;95;70;    ;353;190;90;33;114;191;272;350;    ;
6.784;    ;0;664;63;10;0;0;1;660;144;5;0;0;2;364;104;-57;91;48;    ;0;500;73;1;500;152;2;500;73;    ;0;0;88;1;0;111;2;101;70;    ;353;190;90;33;114;191;272;349;    ;
6.820;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;363;101;-57;91;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;96;1;0;112;2;103;70;    ;353;190;90;33;114;191;272;349;    ;
6.852;    ;0;664;63;3;0;0;1;660;144;1;0;0;2;361;99;-57;91;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;94;1;0;111;2;101;70;    ;353;190;90;33;114;191;272;349;    ;
6.882;    ;0;664;63;10;0;0;1;660;144;6;0;0;2;360;96;-57;91;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;89;1;0;108;2;107;70;    ;353;190;90;33;114;191;272;349;    ;
6.919;    ;0;664;63;11;0;0;1;660;144;7;0;0;2;358;94;-57;91;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;96;1;0;113;2;105;70;    ;353;190;90;33;114;191;272;350;    ;
6.950;    ;0;664;63;7;0;0;1;660;144;5;0;0;2;357;91;-57;91;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;97;1;0;114;2;110;70;    ;353;190;90;33;114;191;272;349;    ;
6.981;    ;0;664;63;7;0;0;1;660;144;4;0;0;2;355;88;-56;91;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;93;1;0;112;2;109;70;    ;353;190;90;33;114;191;272;350;    ;
7.019;    ;0;664;63;11;0;0;1;660;144;7;0;0;2;353;86;-56;91;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;93;1;0;111;2;114;70;    ;353;190;90;33;117;191;272;350;    ;
7.050;    ;0;664;63;11;0;0;1;660;144;7;0;0;2;352;83;-56;91;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;97;1;0;114;2;115;70;    ;353;190;90;33;114;191;272;349;    ;
7.084;    ;0;664;63;11;0;0;1;660;144;4;0;0;2;350;80;-56;91;48;    ;0;500;75;1;500;154;2;500;75;    ;0;0;97;1;0;114;2;115;70;    ;353;190;90;33;114;191;272;350;    ;
7.120;    ;0;664;63;11;0;0;1;660;144;4;0;0;2;349;78;-55;91;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;98;1;0;111;2;120;70;    ;353;190;90;33;114;191;272;350;    ;
7.151;    ;0;664;63;10;0;0;1;660;144;4;0;0;2;347;75;-55;91;48;    ;0;500;73;1;500;152;2;500;73;    ;0;0;97;1;0;111;2;118;70;    ;353;190;90;33;114;191;272;350;    ;
7.183;    ;0;664;63;10;0;0;1;660;144;1;0;0;2;345;72;-55;91;48;    ;0;500;73;1;500;152;2;500;73;    ;0;0;96;1;0;111;2;124;70;    ;353;190;90;33;114;191;272;350;    ;
7.220;    ;0;664;63;11;0;0;1;660;144;4;0;0;2;343;70;-55;89;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;96;1;0;108;2;126;70;    ;353;190;90;33;114;191;272;350;    ;
7.249;    ;0;664;63;8;0;0;1;660;144;5;0;0;2;342;67;-55;89;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;97;1;0;111;2;128;70;    ;353;190;90;33;114;191;272;348;    ;
7.283;    ;0;664;63;6;0;0;1;660;144;4;0;0;2;340;65;-55;90;47;    ;0;500;73;1;500;152;2;500;73;    ;0;0;94;1;0;112;2;127;70;    ;353;190;90;33;114;192;272;349;    ;
7.320;    ;0;664;63;9;0;0;1;660;144;6;0;0;2;339;62;-54;91;48;    ;0;500;73;1;500;153;2;500;73;    ;0;0;92;1;0;111;2;132;70;    ;353;190;90;33;114;192;272;350;    ;
7.352;    ;0;664;63;8;0;0;1;660;144;6;0;0;2;337;60;-54;91;47;    ;0;500;73;1;500;153;2;500;73;    ;0;0;95;1;0;113;2;130;70;    ;353;190;90;33;114;192;272;349;    ;
7.383;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;336;58;-55;91;48;    ;0;500;73;1;500;153;2;500;73;    ;0;0;94;1;0;113;2;137;70;    ;353;190;90;34;114;192;272;    ;
7.421;    ;0;664;63;8;0;0;1;660;144;2;0;0;2;334;55;-55;90;48;    ;0;500;74;1;500;153;2;500;74;    ;0;0;94;1;0;111;2;135;70;    ;353;190;90;34;114;191;272;349;    ;
7.449;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;333;53;-54;91;48;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;109;2;140;70;    ;353;190;90;34;114;192;272;350;    ;
7.483;    ;0;664;63;8;0;0;1;660;144;2;0;0;2;331;50;-54;91;48;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;2;139;70;    ;353;190;90;34;114;192;272;349;    ;
7.517;    ;0;664;63;0;0;0;1;660;144;4;0;0;2;329;48;-54;92;48;    ;0;500;74;1;500;153;2;500;74;    ;0;0;94;1;0;109;2;144;70;    ;353;190;90;34;114;192;272;349;    ;
7.549;    ;0;664;63;2;0;0;1;660;144;3;0;0;2;328;45;-54;92;48;    ;0;500;74;1;500;153;2;500;74;    ;0;0;86;1;0;111;2;147;70;    ;353;190;90;34;114;192;272;348;    ;
7.582;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;326;43;-54;92;48;    ;0;500;74;1;500;153;2;500;74;    ;0;0;88;1;0;110;2;145;70;    ;353;190;90;34;114;192;272;349;    ;
7.619;    ;0;664;63;8;0;0;1;660;144;5;0;0;2;324;40;-53;92;48;    ;0;500;74;1;500;153;2;500;74;    ;0;0;94;1;0;111;2;150;70;    ;353;190;90;34;114;192;272;349;    ;
7.651;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;323;38;41;0;0;    ;0;500;74;1;500;153;2;500;74;    ;0;0;94;1;0;112;2;150;70;    ;353;190;90;34;114;192;272;348;    ;
7.681;    ;0;664;63;10;0;0;1;660;144;4;0;0;2;321;35;41;0;0;    ;0;500;74;1;500;153;2;500;74;    ;0;0;94;1;0;111;2;150;130;    ;353;190;90;34;114;191;272;349;    ;
7.721;    ;0;664;63;5;0;0;1;660;144;1;0;0;2;319;33;28;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;111;2;150;130;    ;353;190;90;34;114;191;272;349;    ;
7.751;    ;0;664;63;8;0;0;1;660;144;4;0;0;2;317;30;30;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;91;1;0;108;2;150;130;    ;353;190;90;34;114;191;272;350;    ;
7.780;    ;0;664;63;9;0;0;1;660;144;1;0;0;2;316;28;56;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;2;150;130;    ;353;190;90;34;114;191;272;350;    ;
7.819;    ;0;664;63;10;0;0;1;660;144;6;0;0;2;314;25;41;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;108;2;150;130;    ;353;190;90;34;114;191;272;350;    ;
7.851;    ;0;664;63;11;0;0;1;660;144;5;0;0;2;312;23;44;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;113;2;150;130;    ;353;190;90;34;114;191;272;349;    ;
7.883;    ;0;664;63;11;0;0;1;660;144;6;0;0;2;311;20;46;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;2;150;130;    ;353;190;90;34;114;191;272;348;    ;
7.920;    ;0;664;63;11;0;0;1;660;144;5;0;0;2;309;18;52;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;113;2;150;130;    ;353;190;90;34;114;191;272;349;    ;
7.949;    ;0;664;63;11;0;0;1;660;144;6;0;0;2;307;16;30;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;2;150;130;    ;353;190;90;34;114;191;272;350;    ;
7.983;    ;0;664;63;7;0;0;1;660;144;5;0;0;2;305;13;52;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;113;2;150;130;    ;353;190;90;34;114;191;272;351;    ;
8.020;    ;0;664;63;11;0;0;1;660;144;6;0;0;2;304;10;39;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;112;2;150;130;    ;353;190;90;34;114;191;272;350;    ;
8.051;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;113;2;150;130;    ;353;190;90;34;114;191;272;349;    ;
8.083;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;34;114;191;272;349;    ;
8.119;    ;0;664;63;9;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;34;114;191;272;349;    ;
8.151;    ;0;664;63;10;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;112;    ;353;190;90;34;114;191;272;349;    ;
8.182;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;112;    ;353;190;90;34;114;191;272;349;    ;
8.220;    ;0;664;63;9;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;34;114;191;272;350;    ;
8.251;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;113;    ;353;190;90;34;114;191;272;349;    ;
8.284;    ;0;664;63;4;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;34;114;191;272;349;    ;
8.320;    ;0;664;63;5;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;90;1;0;111;    ;353;190;90;34;114;192;272;349;    ;
8.351;    ;0;664;63;0;0;0;1;660;144;1;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;91;1;0;109;    ;353;190;90;34;114;192;272;350;    ;
8.382;    ;0;664;63;7;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;86;1;0;108;    ;353;190;90;34;114;192;272;349;    ;
8.420;    ;0;664;63;7;0;0;1;660;144;3;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;111;    ;353;190;90;34;114;192;272;348;    ;
8.451;    ;0;664;63;6;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;110;    ;353;190;90;34;114;190;272;348;    ;
8.483;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;92;1;0;109;    ;353;190;90;33;114;192;272;349;    ;
8.520;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;34;114;192;272;349;    ;
8.552;    ;0;664;63;2;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;348;    ;
8.583;    ;0;664;63;1;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;88;1;0;109;    ;353;190;90;33;114;192;272;349;    ;
8.620;    ;0;664;63;2;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;87;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
8.652;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;88;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
8.682;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
8.719;    ;0;664;63;8;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
8.750;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;113;    ;353;190;90;33;114;191;272;349;    ;
8.782;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
8.819;    ;0;664;63;9;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
8.852;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
8.883;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
8.917;    ;0;664;63;11;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
8.948;    ;0;664;63;7;0;0;1;660;144;7;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;113;    ;353;190;90;33;114;191;272;350;    ;
8.981;    ;0;664;63;11;0;0;1;660;144;7;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;114;    ;353;190;90;33;114;191;272;350;    ;
9.019;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;114;    ;353;190;90;33;114;191;272;349;    ;
9.050;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
