Time (s);    ;car_position;   ;input;    ;command;   ;treadmill;     ;obstacles;
25.970;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.004;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.034;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.065;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.097;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.136;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.165;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.196;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;32;117;199;285;    ;
26.231;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.266;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.294;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.326;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;32;117;200;285;    ;
26.364;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;32;117;200;285;    ;
26.400;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.433;    ;0;554;59;2;0;0;1;562;160;-3;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.467;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;109;    ;320;177;90;34;117;200;285;    ;
26.502;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.528;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.566;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.600;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.631;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.664;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.700;    ;0;554;59;3;0;0;1;562;160;-3;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.732;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;110;1;0;109;    ;320;177;90;32;117;200;285;    ;
26.764;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.801;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
26.833;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;32;117;200;285;    ;
26.868;    ;0;554;59;3;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;199;285;    ;
26.902;    ;0;554;59;3;0;0;1;562;160;-3;0;0;    ;300;200;    ;0;0;110;1;0;111;    ;320;177;90;33;117;199;285;    ;
26.930;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;110;1;0;109;    ;320;177;90;34;117;200;285;    ;
26.965;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
26.999;    ;0;554;59;3;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;33;117;200;285;    ;
27.029;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;110;1;0;111;    ;320;177;90;33;117;200;285;    ;
27.064;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
27.105;    ;0;554;59;2;0;0;1;562;160;-1;0;0;    ;300;200;    ;0;0;109;1;0;111;    ;320;177;90;34;117;200;285;    ;
