Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
5.721;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.753;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.785;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.821;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.853;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.885;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.920;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
5.952;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
5.984;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.020;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.052;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.084;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.120;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.152;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.184;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.220;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.252;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.284;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.320;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.352;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.384;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.420;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.452;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.485;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.521;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.553;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.585;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.620;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.652;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.684;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.720;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.752;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.784;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.820;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.852;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.884;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.920;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
6.952;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
6.984;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
7.020;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
7.052;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
7.084;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
7.120;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
7.153;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
7.185;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
7.220;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
7.249;    ;0;607;220;0;91;42;1;586;79;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
7.281;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;245;1;400;145;    ;0;0;137;1;0;143;    
7.317;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
7.350;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
7.382;    ;0;607;220;0;91;42;1;586;80;-3;91;46;    ;0;550;246;1;400;146;    ;0;0;137;1;0;143;    
